condition,slurm_id,prior_range,tmax,n_summary_dims,a_var,sd_r_var,tau_prior,a_prior,A_prior,mu_c_prior,b_prior,mu_r_prior,sd_r_prior,x0_var,A_prior_shape,A_prior_rate,A_prior_mean,A_prior_sd,tau_prior_shape,tau_prior_rate,tau_prior_mean,tau_prior_sd,mu_c_prior_shape,mu_c_prior_rate,mu_c_prior_mean,mu_c_prior_sd,b_prior_shape,b_prior_rate,b_prior_mean,b_prior_sd,mu_r_prior_shape,mu_r_prior_rate,mu_r_prior_mean,mu_r_prior_sd,sd_r_prior_shape,sd_r_prior_rate,sd_r_prior_mean,sd_r_prior_sd,a_value,a_prior_shape,a_prior_rate,a_prior_shift,a_prior_mean,a_prior_sd,link_function,normal_restriction,attention_setting_key_dim,num_heads,num_inducing_points,num_seeds,num_dense_fc,dense_setting_units,dense_setting_activation,coupling_design,n_coupling_layers,n_epochs,learning_rate,max_obs,batch_size,use_layer_norm,n_iterations,alphas_in_dir_cond,category,dropout
32,NA,default,1200,32,fixed,fixed,normal,fixed,normal,normal,normal,normal,normal,fixed,NA,NA,40,12,NA,NA,80,20,NA,NA,0.5,0.15,NA,NA,80,15,NA,NA,300,32,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,positive_only,32,2,32,1,2,64,relu,spline,12,50,0.0005,2000,32,FALSE,1000,yes,NA,0
33,NA,default,1200,32,fixed,fixed,normal,fixed,normal,normal,normal,normal,normal,fixed,NA,NA,40,12,NA,NA,80,20,NA,NA,0.5,0.15,NA,NA,80,15,NA,NA,300,32,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,positive_only,16,2,32,1,2,64,relu,spline,12,50,0.0005,2000,32,FALSE,1000,yes,NA,0
34,NA,default,1200,32,fixed,fixed,normal,fixed,normal,normal,normal,normal,normal,fixed,NA,NA,40,12,NA,NA,80,20,NA,NA,0.5,0.15,NA,NA,80,15,NA,NA,300,32,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,positive_only,16,4,32,1,2,64,relu,spline,12,50,0.0005,2000,32,FALSE,1000,yes,NA,0
35,NA,default,1200,32,fixed,fixed,normal,fixed,normal,normal,normal,normal,normal,fixed,NA,NA,40,12,NA,NA,80,20,NA,NA,0.5,0.15,NA,NA,80,15,NA,NA,300,32,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,positive_only,8,2,32,1,2,64,relu,spline,12,50,0.0005,2000,32,FALSE,1000,yes,NA,0
36,NA,default,1200,32,fixed,fixed,normal,fixed,normal,normal,normal,normal,normal,fixed,NA,NA,40,12,NA,NA,80,20,NA,NA,0.5,0.15,NA,NA,80,15,NA,NA,300,32,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,positive_only,32,4,32,2,2,64,relu,spline,12,50,0.0005,2000,32,FALSE,1000,yes,NA,0
37,NA,default,1200,32,fixed,fixed,normal,fixed,normal,normal,normal,normal,normal,fixed,NA,NA,40,12,NA,NA,80,20,NA,NA,0.5,0.15,NA,NA,80,15,NA,NA,300,32,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,positive_only,32,4,32,4,2,64,relu,spline,12,50,0.0005,2000,32,FALSE,1000,yes,NA,0
38,NA,default,1200,32,fixed,fixed,normal,fixed,normal,normal,normal,normal,normal,fixed,NA,NA,40,12,NA,NA,80,20,NA,NA,0.5,0.15,NA,NA,80,15,NA,NA,300,32,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,positive_only,32,4,32,8,2,64,relu,spline,12,50,0.0005,2000,32,FALSE,1000,yes,NA,0
39,NA,default,1200,32,fixed,fixed,normal,fixed,normal,normal,normal,normal,normal,fixed,NA,NA,40,12,NA,NA,80,20,NA,NA,0.5,0.15,NA,NA,80,15,NA,NA,300,32,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,positive_only,32,4,32,8,2,64,relu,spline,16,50,0.0005,2000,32,FALSE,1000,yes,NA,0
40,NA,default,1200,32,fixed,fixed,normal,fixed,normal,normal,normal,normal,normal,fixed,NA,NA,40,12,NA,NA,80,20,NA,NA,0.5,0.15,NA,NA,80,15,NA,NA,300,32,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,positive_only,64,4,32,8,2,64,relu,spline,12,50,0.0005,2000,32,FALSE,1000,yes,NA,0
41,NA,default,1200,32,fixed,fixed,normal,fixed,normal,normal,normal,normal,normal,fixed,NA,NA,40,12,NA,NA,80,20,NA,NA,0.5,0.15,NA,NA,80,15,NA,NA,300,32,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,positive_only,32,4,32,1,8,64,relu,spline,12,50,0.0005,2000,32,FALSE,1000,yes,NA,0
42,NA,default,1200,32,fixed,fixed,normal,fixed,normal,normal,normal,normal,normal,fixed,NA,NA,40,12,NA,NA,80,20,NA,NA,0.5,0.15,NA,NA,80,15,NA,NA,300,32,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,positive_only,64,8,32,8,2,64,relu,spline,12,50,0.0005,2000,32,FALSE,1000,yes,NA,0
43,NA,default,1200,32,fixed,fixed,normal,fixed,normal,normal,normal,normal,normal,fixed,NA,NA,40,12,NA,NA,80,20,NA,NA,0.5,0.15,NA,NA,80,15,NA,NA,300,32,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,positive_only,64,8,32,8,2,64,relu,spline,12,100,0.0005,2000,32,FALSE,1000,yes,NA,0
44,NA,default,1200,32,fixed,fixed,normal,fixed,normal,normal,normal,normal,normal,fixed,NA,NA,40,12,NA,NA,80,20,NA,NA,0.5,0.15,NA,NA,80,15,NA,NA,300,32,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,positive_only,32,4,32,1,2,64,relu,spline,12,50,0.0005,1000,32,FALSE,1000,yes,NA,0
45,NA,MA,1200,32,fixed,fixed,normal,fixed,normal,normal,normal,normal,normal,fixed,NA,NA,43,16,NA,NA,80,34,NA,NA,0.5,0.175,NA,NA,100,28,NA,NA,348,88,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,positive_only,32,4,32,1,2,64,relu,spline,12,50,0.0005,2000,32,FALSE,1000,yes,NA,0
46,NA,MA,1200,32,fixed,fixed,normal,fixed,normal,normal,normal,normal,normal,fixed,NA,NA,43,16,NA,NA,80,34,NA,NA,0.5,0.175,NA,NA,100,28,NA,NA,348,88,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,positive_only,64,4,32,1,2,64,relu,spline,12,50,0.0005,2000,32,FALSE,1000,yes,NA,0
47,NA,MA,1200,32,fixed,fixed,normal,fixed,normal,normal,normal,normal,normal,fixed,NA,NA,43,16,NA,NA,80,34,NA,NA,0.5,0.175,NA,NA,100,28,NA,NA,348,88,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,positive_only,32,8,32,1,2,64,relu,spline,12,50,0.0005,2000,32,FALSE,1000,yes,NA,0
48,NA,MA,1200,32,fixed,fixed,normal,fixed,normal,normal,normal,normal,normal,fixed,NA,NA,43,16,NA,NA,80,34,NA,NA,0.5,0.175,NA,NA,100,28,NA,NA,348,88,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,positive_only,64,8,32,1,2,64,relu,spline,12,50,0.0005,2000,32,FALSE,1000,yes,NA,0
49,NA,MA,1200,32,fixed,fixed,normal,fixed,normal,normal,normal,normal,normal,fixed,NA,NA,43,16,NA,NA,80,34,NA,NA,0.5,0.175,NA,NA,100,28,NA,NA,348,88,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,positive_only,32,4,32,4,2,64,relu,spline,12,50,0.0005,2000,32,FALSE,1000,yes,NA,0
50,NA,MA,1200,32,fixed,fixed,normal,fixed,normal,normal,normal,normal,normal,fixed,NA,NA,43,16,NA,NA,80,34,NA,NA,0.5,0.175,NA,NA,100,28,NA,NA,348,88,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,positive_only,64,4,32,4,2,64,relu,spline,12,50,0.0005,2000,32,FALSE,1000,yes,NA,0
