participant,rt,accuracy,congruency_num,spacing_num
1108,0.4231,1,1,0
1108,0.3425,1,1,0
1108,0.4401,1,1,0
1108,0.4649,1,0,0
1108,0.459,1,1,0
1108,0.4533,1,1,0
1108,0.3628,1,1,0
1108,0.4556,1,1,0
1108,0.4178,1,0,0
1108,0.4107,1,0,0
1108,0.4431,1,0,0
1108,0.3978,1,1,0
1108,0.3906,1,0,0
1108,0.4818,1,1,0
1108,0.3245,0,1,0
1108,0.3767,1,0,0
1108,0.3585,0,1,0
1108,0.4103,1,0,0
1108,0.4039,1,1,0
1108,0.5069,1,1,0
1108,0.4251,1,0,0
1108,0.3574,1,0,0
1108,0.326,0,1,0
1108,0.3838,1,0,0
1108,0.3425,1,1,0
1108,0.3672,1,1,0
1108,0.4506,1,0,0
1108,0.46,1,0,0
1108,0.3878,1,0,0
1108,0.3317,1,1,0
1108,0.4339,1,1,0
1108,0.361,1,1,0
1108,0.4821,1,0,0
1108,0.5162,1,0,0
1108,0.4516,1,1,0
1108,0.5326,1,1,0
1108,0.4054,1,0,0
1108,0.4045,1,0,0
1108,0.3938,1,1,0
1108,0.4082,1,0,0
1108,0.4443,1,0,0
1108,0.4744,1,1,0
1108,0.4201,1,1,0
1108,0.3427,1,1,0
1108,0.524,1,0,0
1108,0.4011,1,1,0
1108,0.3669,1,0,0
1108,0.4738,1,1,0
1108,0.4341,1,1,0
1108,0.4367,1,1,0
1108,0.3593,1,1,0
1108,0.3952,1,0,0
1108,0.3371,1,0,0
1108,0.5179,1,1,0
1108,0.4182,1,0,0
1108,0.4099,1,1,0
1108,0.4333,1,0,0
1108,0.4243,1,1,0
1108,0.4428,1,0,0
1108,0.4032,1,0,0
1108,0.3227,1,1,0
1108,0.3695,1,0,0
1108,0.4153,1,1,0
1108,0.3419,1,0,0
1108,0.3385,1,0,0
1108,0.3429,1,1,0
1108,0.4191,1,0,0
1108,0.4445,1,0,0
1108,0.4578,1,0,0
1108,0.629,1,1,0
1108,0.6322,1,0,0
1108,0.4028,1,1,0
1108,0.4404,1,0,0
1108,0.4335,1,1,0
1430,0.484,1,0,0
1430,0.451,1,1,0
1430,0.386,1,0,0
1430,0.586,1,0,0
1430,0.419,1,0,0
1430,0.427,1,1,0
1430,0.384,0,1,0
1430,0.403,1,0,0
1430,0.367,1,1,0
1430,0.422,1,0,0
1430,0.378,1,0,0
1430,0.386,1,0,0
1430,0.521,1,0,0
1430,0.398,1,1,0
1430,0.451,1,1,0
1430,0.333,1,0,0
1430,0.423,1,0,0
1430,0.516,1,1,0
1430,0.438,1,1,0
1430,0.473,1,1,0
1430,0.761,1,1,0
1430,0.452,1,1,0
1430,0.526,1,0,0
1430,0.459,1,1,0
1430,0.479,1,1,0
1430,0.607,1,1,0
1430,0.535,1,1,0
1430,0.454,1,0,0
1430,0.404,1,0,0
1430,0.529,1,1,0
1430,0.617,1,0,0
1430,0.382,1,0,0
1430,0.353,1,0,0
1430,0.435,1,1,0
1430,0.392,0,1,0
1430,0.378,1,1,0
1430,0.427,1,1,0
1430,0.44,1,0,0
1430,0.358,1,0,0
1430,0.419,1,0,0
1430,0.772,1,1,0
1430,0.369,1,0,0
1430,0.353,1,0,0
1430,0.42,1,1,0
1430,0.538,1,0,0
1430,0.415,1,1,0
1430,0.654,1,0,0
1430,0.682,1,0,0
1430,0.365,1,0,0
1430,0.516,1,0,0
1430,0.368,1,0,0
1430,0.389,1,1,0
1430,0.371,1,1,0
1430,0.424,0,0,0
1430,0.433,0,0,0
1430,0.801,1,0,0
1430,0.569,1,1,0
1430,0.589,1,0,0
1430,0.422,1,1,0
1430,0.471,1,0,0
1430,0.389,1,1,0
1430,0.517,1,1,0
1430,0.606,1,1,0
1430,0.35,1,0,0
1430,0.354,1,0,0
1430,0.491,1,0,0
1430,0.605,1,1,0
1430,0.452,1,0,0
1430,0.457,1,1,0
1430,0.384,1,0,0
1430,0.369,1,1,0
1430,0.704,1,1,0
1430,0.403,1,1,0
1430,0.475,1,1,0
1430,0.452,1,0,0
1430,0.401,1,1,0
1430,0.302,1,0,0
1430,0.38,1,0,0
1430,0.576,1,1,0
1430,0.475,1,1,0
1430,0.461,1,1,0
1430,0.384,1,0,0
1430,0.522,1,0,0
1430,0.383,1,1,0
1430,0.572,1,1,0
1430,0.417,1,1,0
1430,0.486,1,0,0
1430,0.55,1,1,0
1430,0.352,1,0,0
1430,0.685,1,0,0
1430,0.475,1,1,0
1430,0.414,1,1,0
1430,0.418,1,0,0
1430,0.321,0,0,0
1430,0.453,1,1,0
1430,0.483,1,0,0
1430,0.502,1,1,0
1430,0.511,1,0,0
1430,0.262,1,1,0
1430,0.284,0,0,0
1430,0.589,1,1,0
1430,0.419,1,1,0
1430,0.479,1,0,0
1430,0.434,1,1,0
1430,0.484,1,1,0
1430,0.479,1,1,0
1430,0.351,1,0,0
1430,0.432,1,1,0
1430,0.385,1,0,0
1430,0.284,1,1,0
1430,0.399,1,0,0
1430,0.417,1,0,0
1430,0.422,0,1,0
1430,0.434,1,0,0
1430,0.436,1,1,0
1430,0.439,1,1,0
1430,0.396,1,1,0
1430,0.366,1,0,0
1430,0.319,1,0,0
1430,0.303,0,1,0
1430,0.734,1,1,0
1430,0.519,1,1,0
1430,0.42,1,0,0
1430,0.433,1,0,0
1430,0.381,1,0,0
1430,0.431,1,0,0
1430,0.424,1,1,0
1430,0.369,1,1,0
1430,0.439,1,0,0
1430,0.386,1,1,0
1430,0.445,1,1,0
1430,0.367,1,0,0
1430,0.373,0,1,0
1430,0.518,1,0,0
1430,0.486,1,1,0
1430,0.38,1,1,0
1430,0.47,1,0,0
1430,0.41,1,1,0
1430,0.42,1,1,0
1430,0.368,0,1,0
1430,0.379,1,0,0
1430,0.466,1,1,0
1430,0.507,1,0,0
1430,0.457,1,1,0
1430,0.426,1,1,0
1430,0.383,1,0,0
1430,0.518,0,0,0
1430,0.35,1,1,0
1430,0.506,1,0,0
1430,0.401,1,1,0
1430,0.397,1,1,0
1430,0.524,1,1,0
1430,0.649,1,0,0
1430,0.402,1,0,0
1430,0.453,1,1,0
1430,0.443,1,0,0
1430,0.386,1,0,0
1430,0.436,1,1,0
1430,0.577,1,1,0
1430,0.368,1,0,0
1430,0.442,1,0,0
1430,0.503,1,1,0
1430,0.393,1,0,0
1430,0.5,1,0,0
1430,0.403,1,0,0
1430,0.397,1,0,0
1430,0.329,1,0,0
1430,0.358,1,0,0
1430,0.307,1,1,0
1430,0.339,1,0,0
1430,0.357,1,1,0
1430,0.311,0,1,0
1430,0.425,1,0,0
1430,0.483,0,1,0
1430,0.397,0,1,0
1430,0.389,1,1,0
1430,0.466,1,1,0
1430,0.39,1,0,0
1430,0.469,1,0,0
1430,0.483,1,1,0
1430,0.406,1,1,0
1430,0.681,1,1,0
1430,0.405,1,0,0
1430,0.436,1,1,0
1430,0.475,1,0,0
1430,0.336,1,1,0
1430,0.465,1,1,0
1430,0.401,1,0,0
1430,0.42,1,0,0
1430,0.372,1,0,0
1430,0.504,1,1,0
1430,0.58,1,0,0
1430,0.457,1,0,0
1430,0.556,1,1,0
1430,0.304,0,0,0
1430,0.557,1,0,0
1430,0.768,1,1,0
1430,0.386,1,0,0
1430,0.388,1,0,0
1430,0.387,1,0,0
1430,0.407,1,0,0
1430,0.388,1,1,0
1430,0.368,1,1,0
1430,0.284,1,0,0
1430,0.533,1,1,0
1430,0.371,1,0,0
1430,0.495,1,0,0
1430,0.423,1,1,0
1430,0.393,1,1,0
1430,0.467,1,0,0
1430,0.397,1,0,0
1430,0.414,1,1,0
1430,0.416,1,0,0
1430,0.418,1,0,0
1430,0.404,1,1,0
1430,0.338,1,1,0
1430,0.456,1,0,0
1430,0.39,1,0,0
1430,0.438,1,0,0
1430,0.32,1,0,0
1430,0.392,0,0,0
1430,0.391,1,1,0
1430,0.323,0,1,0
1430,0.504,1,1,0
1430,0.436,1,1,0
1430,0.382,1,1,0
1430,0.453,1,0,0
1430,0.438,1,0,0
1430,0.415,1,1,0
1430,0.377,1,1,0
1430,0.623,1,1,0
1430,0.405,1,1,0
1430,0.339,1,1,0
1430,0.334,1,0,0
1430,0.364,1,1,0
1430,0.472,1,1,0
1430,0.324,1,0,0
1430,0.391,1,0,0
1430,0.502,1,1,0
1430,0.335,1,0,0
1430,0.368,1,0,0
