participant,rt,accuracy,congruency_num,spacing_num
1507,0.6575,1,0,1
5761,0.5053,1,0,1
5281,0.389,1,1,1
1638,0.3788,0,0,1
8788,0.5123,1,1,1
6634,0.4767,1,1,1
6055,0.565,1,1,1
6844,0.444,1,1,1
3910,0.4415,1,1,1
6529,0.444,1,1,1
1538,0.3723,1,1,1
6109,0.4055,1,0,1
3286,0.423,1,0,1
8026,0.369,1,1,1
1583,0.4083,1,0,1
3625,0.4759,1,0,1
845,0.355,0,1,1
845,0.349,1,1,1
3487,0.4461,1,0,1
5803,0.448,1,1,1
6565,0.3724,1,1,1
7939,0.662,1,1,1
1507,0.4247,1,0,1
6214,0.3573,1,0,1
5761,0.4876,1,1,1
7939,0.444,1,0,1
916,0.5205,1,1,1
6529,0.416,1,1,1
1614,0.417,1,1,1
8785,0.4714,1,1,1
7807,0.3952,1,1,1
7924,0.526,1,0,1
6634,0.7672,1,1,1
833,0.4608,1,0,1
7807,0.4387,0,1,1
6262,0.6169,1,0,1
1430,0.385,1,0,1
1821,0.315799999,1,0,1
1638,0.5347,1,0,1
6361,0.49,1,1,1
6253,0.464,1,0,1
6583,0.4684,1,0,1
985,0.48,1,0,1
1507,0.5179,0,1,1
6565,0.4268,1,0,1
3988,0.4111,0,0,1
3625,0.5203,1,1,1
1663,0.75,1,0,1
8785,0.4221,0,1,1
6634,0.445,1,1,1
8755,0.4395,1,0,1
8755,0.4412,1,1,1
6262,0.6446,1,1,1
8446,0.4029,1,0,1
1538,0.4695,0,0,1
6583,0.5142,1,0,1
7756,0.531,1,1,1
6109,0.3849,1,1,1
6427,0.493,1,0,1
1583,0.6679999999999999,1,1,1
8704,0.633,1,1,1
7807,0.4024,1,1,1
6055,0.48,1,1,1
3754,0.5914,1,1,1
8755,0.6736,1,1,1
5815,0.4537,0,1,1
1601,0.5352,1,0,1
8521,0.4198,1,0,1
6634,0.4686,1,0,1
3292,0.4248,1,0,1
1597,0.369,1,1,1
7813,0.392,0,0,1
8704,0.703,1,0,1
1430,0.418,1,0,1
337788,0.536,1,1,1
8755,0.3735,1,0,1
1813,0.6201,1,1,1
8308,0.488,1,1,1
8026,0.449,1,0,1
6055,0.401,1,0,1
1824,0.3865,1,1,1
8788,0.4347,1,1,1
1614,0.437,0,1,1
4264,0.3169,0,1,1
6361,0.445,0,1,1
8755,0.3953,1,0,1
1582,0.53,1,1,1
8311,0.443,1,1,1
6529,0.375,0,0,1
6055,0.363,1,0,1
7807,0.5474,1,1,1
7756,0.409,1,0,1
6427,0.398,1,0,1
3988,0.3275,1,0,1
337788,0.388,1,1,1
5281,0.373,1,0,1
7924,0.5415,1,1,1
5332,0.48,1,1,1
808,0.4308,1,0,1
5281,0.55,1,1,1
3292,0.5043,1,0,1
8446,0.4545,1,0,1
1430,0.466,1,1,1
5281,0.465,1,1,1
161753,0.491,1,0,1
1638,0.4515,1,0,1
7756,0.4951,1,0,1
1768,0.352,0,1,1
1761,0.6385,1,0,1
3625,0.392,0,0,1
985,0.441,1,1,1
7624,0.337,1,1,1
4222,0.5016,1,1,1
6055,0.381,1,0,1
5332,0.518,1,0,1
7756,0.4344,1,0,1
7813,0.373,1,0,1
4222,0.3894,1,0,1
4264,0.656,1,0,1
8785,0.61,1,0,1
8308,0.677,1,1,1
8521,0.3894,1,0,1
810,0.5675,1,0,1
808,0.4899,1,1,1
8788,0.4865,1,1,1
5731,0.644,1,0,1
337788,0.705,1,1,1
6055,0.437,1,1,1
8308,0.648,1,1,1
7807,0.6219,1,1,1
8311,0.31,0,0,1
1538,0.4639,1,0,1
6529,0.367,1,0,1
7624,0.406,1,0,1
7828,0.4725,1,1,1
845,0.399,1,0,1
1797,0.269,0,1,1
8446,0.5066,1,1,1
1430,0.552,1,1,1
5761,0.3869,1,0,1
6253,0.593,1,1,1
337788,0.625,1,1,1
1761,0.451,1,1,1
6253,0.37,1,0,1
3487,0.506,1,0,1
1768,0.527,1,0,1
845,0.355,1,0,1
7768,0.3996,1,0,1
6253,0.548,1,1,1
1597,0.62,1,1,1
5815,0.4548,1,1,1
8026,0.785,1,0,1
1538,0.3907,1,1,1
5332,0.651,1,0,1
6109,0.3349,1,0,1
6634,0.4359,1,0,1
6427,0.348,1,0,1
5803,0.479,1,1,1
6361,0.632,1,1,1
7624,0.671,1,1,1
1614,0.442,1,0,1
7807,0.365,1,0,1
3910,0.3192,1,0,1
6262,0.4217,1,1,1
7813,0.41,1,1,1
6583,0.3693,1,0,1
3910,0.4905,1,0,1
1821,0.3863,1,1,1
916,0.4625,0,1,1
