participant,rt,accuracy,congruency_num,spacing_num
808,0.4477,1,1,1
808,0.5565,1,0,1
808,0.4935,1,0,1
808,0.3581,1,1,1
808,0.5099,1,1,1
808,0.439,1,0,1
808,0.3936,1,1,1
808,0.4376,1,0,1
808,0.3544,1,0,1
808,0.5077,1,0,1
808,0.4424,1,0,1
808,0.5974,1,0,1
808,0.5294,1,1,1
808,0.4916,1,1,1
808,0.4099,1,0,1
808,0.4868,1,0,1
808,0.4308,1,0,1
808,0.4919,1,0,1
808,0.433,1,1,1
808,0.4454,1,0,1
808,0.4369,1,1,1
808,0.5034,1,1,1
808,0.506,1,0,1
808,0.5886,1,0,1
808,0.7065,1,0,1
808,0.4812,1,0,1
808,0.4218,1,0,1
808,0.5487,1,0,1
808,0.4025,1,0,1
808,0.4742,1,0,1
808,0.3738,1,1,1
808,0.6472,1,0,1
808,0.3974,0,1,1
808,0.487,1,0,1
808,0.5226,1,0,1
808,0.4213,1,1,1
808,0.388,1,0,1
808,0.3972,1,0,1
808,0.3414,1,1,1
808,0.4705,1,0,1
808,0.4894,1,1,1
808,0.3318,1,0,1
808,0.4657,1,1,1
808,0.5409,1,0,1
808,0.6988,1,0,1
808,0.4605,1,1,1
808,0.4482,1,0,1
808,0.4737,1,1,1
808,0.5819,1,1,1
808,0.5765,1,0,1
808,0.4985,1,1,1
808,0.4691,1,1,1
808,0.5815,1,1,1
808,0.4142,1,0,1
808,0.4009,1,0,1
808,0.3862,1,0,1
808,0.4044,1,0,1
808,0.4323,1,1,1
808,0.4348,1,0,1
808,0.5054,1,0,1
808,0.5088,1,1,1
808,0.4434,1,0,1
808,0.3756,1,0,1
808,0.3605,1,1,1
808,0.5761,1,1,1
808,0.5568,1,1,1
808,0.691,1,1,1
808,0.443,1,0,1
808,0.3821,1,0,1
808,0.6578,1,0,1
808,0.3563,1,0,1
808,0.4204,1,1,1
808,0.5169,1,1,1
808,0.3994,1,1,1
808,0.4078,1,1,1
808,0.4327,1,1,1
808,0.4781,1,0,1
808,0.4718,1,0,1
808,0.3483,1,0,1
808,0.3964,1,0,1
808,0.4234,1,0,1
808,0.443,1,1,1
808,0.4571,0,0,1
808,0.4647,1,1,1
808,0.4158,0,1,1
808,0.5199,1,0,1
808,0.4828,1,1,1
808,0.4341,1,0,1
808,0.6668,1,1,1
808,0.4257,1,0,1
808,0.4483,1,0,1
808,0.384,1,0,1
808,0.3808,1,1,1
808,0.5574,1,1,1
808,0.3861,1,1,1
808,0.4625,1,0,1
808,0.4919,1,1,1
808,0.3909,1,1,1
808,0.5205,1,0,1
808,0.5202,1,1,1
808,0.4161,1,1,1
808,0.4507,1,0,1
808,0.5913,1,0,1
808,0.409,1,0,1
808,0.4364,1,1,1
808,0.5164,1,1,1
808,0.4633,1,0,1
808,0.3874,1,0,1
808,0.4574,1,0,1
808,0.5335,1,0,1
808,0.5271,1,1,1
808,0.4316,1,0,1
808,0.5752,1,1,1
808,0.4244,1,0,1
808,0.4573,1,1,1
808,0.3916,1,0,1
808,0.5577,1,0,1
808,0.5142,1,1,1
808,0.5872,1,1,1
808,0.4938,1,1,1
808,0.4425,1,0,1
808,0.4054,1,1,1
808,0.4599,1,1,1
808,0.465,1,0,1
808,0.504,1,1,1
808,0.4938,1,1,1
808,0.5718,1,0,1
808,0.4382,1,1,1
808,0.3873,1,0,1
808,0.57,1,0,1
808,0.4401,1,1,1
808,0.4738,1,1,1
808,0.475,1,0,1
808,0.3585,1,0,1
808,0.4598,1,1,1
808,0.4899,1,1,1
808,0.3426,1,1,1
808,0.6155,1,0,1
808,0.405,1,0,1
808,0.4203,1,0,1
808,0.4232,1,1,1
808,0.4862,1,1,1
808,0.4147,1,1,1
808,0.3896,1,0,1
808,0.4527,0,0,1
808,0.46,1,0,1
808,0.4102,1,0,1
808,0.3979,1,0,1
808,0.4694,1,0,1
808,0.5963,1,0,1
808,0.4308,0,1,1
808,0.4132,1,1,1
808,0.3416,1,0,1
808,0.5996,1,0,1
808,0.4577,1,0,1
808,0.7584,1,1,1
808,0.4243,1,0,1
808,0.4033,1,1,1
808,0.3439,1,0,1
808,0.3942,1,0,1
808,0.4736,1,1,1
808,0.4801,1,0,1
808,0.4416,1,0,1
808,0.4538,1,1,1
808,0.4151,1,1,1
808,0.4485,1,0,1
808,0.467,1,0,1
808,0.4069,1,0,1
808,0.4913,1,1,1
808,0.4251,1,1,1
808,0.5146,1,1,1
808,0.4096,1,1,1
808,0.428,1,0,1
808,0.3912,1,0,1
808,0.6034,1,1,1
808,0.5845,1,1,1
808,0.4707,1,1,1
808,0.4579,1,0,1
808,0.469,1,0,1
808,0.3804,1,1,1
808,0.4386,1,1,1
808,0.5675,1,0,1
808,0.4029,1,0,1
808,0.4606,1,0,1
808,0.3527,1,0,1
808,0.4153,1,1,1
808,0.4574,1,1,1
808,0.5234,1,1,1
808,0.3492,1,1,1
808,0.4265,1,1,1
808,0.4069,1,1,1
808,0.4748,1,1,1
808,0.3571,1,1,1
808,0.4489,1,1,1
808,0.3871,1,0,1
808,0.4296,1,0,1
808,0.4229,1,1,1
808,0.5097,1,1,1
808,0.7135,1,0,1
