,participant,rt,accuracy,congruency_num,spacing_num
62,1108,0.4612,1,1,0
63,1108,0.3822,1,1,0
64,1108,0.366,1,0,0
65,1108,0.3691,1,0,0
66,1108,0.3807,1,1,0
67,1108,0.3861,1,1,0
68,1108,0.292,1,0,0
69,1108,0.4159,1,0,0
70,1108,0.4244,1,1,0
71,1108,0.3161,1,1,0
72,1108,0.557,1,0,0
73,1108,0.5466,1,1,0
74,1108,0.3651,1,1,0
75,1108,0.3602,1,1,0
76,1108,0.3588,1,0,0
77,1108,0.3928,1,0,0
78,1108,0.3408,1,1,0
79,1108,0.3703,1,0,0
80,1108,0.4197,1,0,0
81,1108,0.458,1,1,0
82,1108,0.4204,1,1,0
83,1108,0.3262,1,0,0
84,1108,0.4203,1,0,0
85,1108,0.4371,1,1,0
86,1108,0.3898,1,0,0
87,1108,0.3538,1,0,0
88,1108,0.6617,1,0,0
89,1108,0.5597,1,0,0
90,1108,0.6854,1,0,0
91,1108,0.4924,1,1,0
92,1108,0.4875,1,1,0
93,1108,0.5535,1,0,0
94,1108,0.4586,1,1,0
95,1108,0.3245,1,0,0
96,1108,0.3146,1,1,0
97,1108,0.3654,1,0,0
98,1108,0.3969,1,1,0
99,1108,0.3821,1,0,0
100,1108,0.3329,1,1,0
101,1108,0.3841,1,1,0
102,1108,0.452,1,1,0
103,1108,0.4341,1,0,0
104,1108,0.408,1,1,0
105,1108,0.4112,1,0,0
106,1108,0.3858,1,1,0
107,1108,0.3705,1,1,0
108,1108,0.3292,1,0,0
109,1108,0.4518,0,1,0
110,1108,0.3756,1,1,0
111,1108,0.4283,1,1,0
112,1108,0.4598,1,1,0
113,1108,0.3559,1,0,0
114,1108,0.4501,1,1,0
115,1108,0.3444,1,1,0
116,1108,0.3852,1,0,0
117,1108,0.374,1,0,0
118,1108,0.3802,1,1,0
119,1108,0.4597,1,0,0
120,1108,0.4145,1,0,0
121,1108,0.3903,1,0,0
122,1108,0.3737,1,0,0
123,1108,0.3824,1,0,0
124,1108,0.3553,0,0,0
125,1108,0.3908,1,1,0
126,1108,0.3915,1,0,0
127,1108,0.3598,1,1,0
128,1108,0.3577,1,0,0
129,1108,0.3965,1,1,0
130,1108,0.3391,1,0,0
131,1108,0.6161,1,0,0
132,1108,0.6574,1,1,0
133,1108,0.4597,1,1,0
134,1108,0.419,1,1,0
135,1108,0.4435,1,1,0
136,1108,0.3411,1,0,0
137,1108,0.4216,1,0,0
138,1108,0.4082,1,0,0
139,1108,0.3908,1,1,0
140,1108,0.4093,1,0,0
141,1108,0.5315,1,1,0
142,1108,0.3164,1,0,0
143,1108,0.5048,1,1,0
144,1108,0.4329,1,0,0
145,1108,0.4081,1,0,0
146,1108,0.3664,1,1,0
147,1108,0.5856,1,0,0
148,1108,0.422,1,0,0
149,1108,0.4686,1,1,0
150,1108,0.4253,1,0,0
151,1108,0.4017,1,1,0
152,1108,0.4098,1,1,0
153,1108,0.392,1,1,0
154,1108,0.4198,1,1,0
155,1108,0.3992,1,0,0
156,1108,0.4079,1,0,0
157,1108,0.5992,1,1,0
158,1108,0.5257,1,1,0
159,1108,0.3604,1,0,0
160,1108,0.4279,1,1,0
161,1108,0.3536,1,1,0
162,1108,0.3527,1,1,0
163,1108,0.4151,1,0,0
164,1108,0.3903,1,0,0
165,1108,0.3914,1,0,0
166,1108,0.3446,1,0,0
167,1108,0.3088,1,0,0
168,1108,0.3656,1,0,0
169,1108,0.3972,1,0,0
170,1108,0.392,1,1,0
171,1108,0.4372,1,0,0
172,1108,0.3306,1,1,0
173,1108,0.355,1,1,0
174,1108,0.698,1,1,0
175,1108,0.5903,1,0,0
176,1108,0.3825,1,1,0
177,1108,0.3789,1,1,0
178,1108,0.367,1,0,0
179,1108,0.3997,1,0,0
180,1108,0.4214,1,0,0
181,1108,0.3574,1,0,0
182,1108,0.493,1,0,0
183,1108,0.4533,1,0,0
184,1108,0.6416,1,0,0
185,1108,0.3536,1,1,0
186,1108,0.5001,1,1,0
187,1108,0.3774,1,1,0
188,1108,0.5179,1,0,0
189,1108,0.5646,1,0,0
190,1108,0.3714,1,1,0
191,1108,0.3497,1,0,0
192,1108,0.4983,1,1,0
193,1108,0.4334,1,0,0
194,1108,0.3817,1,0,0
195,1108,0.4707,1,0,0
196,1108,0.3701,1,0,0
197,1108,0.4027,1,1,0
198,1108,0.3745,1,0,0
199,1108,0.526,1,0,0
200,1108,0.3911,1,1,0
201,1108,0.4558,1,1,0
202,1108,0.4986,1,0,0
203,1108,0.4333,1,1,0
204,1108,0.3725,1,1,0
205,1108,0.3451,1,1,0
206,1108,0.4321,1,1,0
207,1108,0.4066,1,1,0
208,1108,0.5113,1,0,0
209,1108,0.3429,1,0,0
210,1108,0.3594,1,1,0
211,1108,0.4438,0,0,0
212,1108,0.3623,1,0,0
213,1108,0.4195,1,1,0
214,1108,0.3953,1,1,0
215,1108,0.5933,1,1,0
216,1108,0.5009,1,1,0
217,1108,0.709,1,0,0
218,1108,0.3833,1,1,0
219,1108,0.501,1,1,0
220,1108,0.4306,1,1,0
221,1108,0.416,1,0,0
222,1108,0.3699,1,0,0
223,1108,0.333,1,0,0
224,1108,0.391,1,0,0
225,1108,0.3697,1,0,0
226,1108,0.3761,1,1,0
227,1108,0.4158,0,1,0
228,1108,0.3584,1,1,0
229,1108,0.3904,1,0,0
230,1108,0.4594,1,1,0
231,1108,0.34,1,0,0
232,1108,0.4264,1,0,0
233,1108,0.3798,0,1,0
234,1108,0.3611,1,1,0
235,1108,0.4501,1,0,0
236,1108,0.6744,1,1,0
237,1108,0.4076,1,1,0
238,1108,0.3985,1,1,0
239,1108,0.4586,1,1,0
240,1108,0.4234,1,1,0
241,1108,0.383,1,0,0
242,1108,0.3581,1,0,0
243,1108,0.3373,0,1,0
244,1108,0.3494,1,0,0
