participant,rt,accuracy,congruency_num,spacing_num,n_trial_experiment
1108,0.4829,1,0,1,51
1108,0.4528,1,0,1,52
1108,0.4751,1,1,1,53
1108,0.3434,1,0,1,54
1108,0.4658,1,0,1,55
1108,0.3826,0,1,1,56
1108,0.4957,1,1,1,60
1108,0.4861,1,1,1,62
1108,0.5462,1,1,1,63
1108,0.4827,1,0,1,64
1108,0.3761,0,1,1,65
1108,0.5072,1,0,1,68
1108,0.4049,1,1,1,71
1108,0.4334,1,0,1,75
1108,0.434,1,0,1,77
1108,0.4096,1,0,1,78
1108,0.3658,1,0,1,80
1108,0.4678,1,1,1,81
1108,0.3144,0,1,1,83
1108,0.3869,1,1,1,87
1108,0.3361,1,1,1,88
1108,0.3928,0,1,1,90
1108,0.3599,0,1,1,95
1108,0.3853,1,0,1,96
1108,0.4091,1,0,1,99
1108,0.3034,0,1,1,100
1108,0.4675,1,1,1,101
1108,0.377,1,0,1,102
1108,0.3564,1,0,1,103
1108,0.4164,1,0,1,105
1108,0.4152,1,0,1,106
1108,0.3621,1,0,1,107
1108,0.3405,1,0,1,108
1108,0.3034,1,0,1,109
1108,0.4327,1,1,1,110
1108,0.6754,1,0,1,111
1108,0.5231,1,0,1,112
1108,0.6085,1,0,1,113
1108,0.3529,1,1,1,117
1108,0.3269,1,1,1,118
1108,0.2737,0,1,1,119
1108,0.4445,1,0,1,120
1108,0.5157,1,1,1,121
1108,0.3768,1,0,1,122
1108,0.3491,1,0,1,123
1108,0.4203,1,0,1,124
1108,0.4371,1,1,1,125
1108,0.4221,1,1,1,126
1108,0.3312,1,0,1,127
1108,0.4899,1,1,1,1
1108,0.5389,1,0,1,2
1108,0.4654,1,1,1,3
1108,0.5259,1,1,1,5
1108,0.3839,1,0,1,6
1108,0.4293,1,1,1,7
1108,0.4596,1,1,1,8
1108,0.3998,1,0,1,9
1108,0.3252,1,0,1,10
1108,0.3955,1,1,1,14
1108,0.4116,0,1,1,15
1108,0.6454,1,1,1,16
1108,0.4988,1,1,1,18
1108,0.4313,1,1,1,20
1108,0.6486,1,1,1,22
1108,0.3604,1,0,1,23
1108,0.4665,1,1,1,25
1108,0.4603,1,1,1,29
1108,0.6228,1,1,1,31
1108,0.3585,1,0,1,33
1108,0.5086,1,1,1,37
1108,0.481,1,1,1,41
1108,0.5305,1,1,1,42
1108,0.6255,1,1,1,43
1108,0.4246,1,1,1,44
1108,0.5086,1,0,1,46
1108,0.4371,1,0,1,47
1108,0.4358,1,0,1,48
1108,0.3842,1,1,1,49
1108,0.4836,1,0,1,52
