,participant,rt,accuracy,congruency_num,spacing_num
443,5731,0.452,1,0,1
444,810,0.5146,1,0,1
445,1761,0.4063,1,0,1
446,8704,0.501,1,0,1
447,8755,0.381,1,0,1
448,985,0.506,1,1,1
449,3580,0.454,1,1,1
450,6253,0.387,1,0,1
451,7756,0.5056,1,1,1
452,8755,0.4469,1,0,1
453,6844,0.47,1,0,1
454,4222,0.5292,1,0,1
455,3754,0.4744,1,0,1
456,810,0.2799,0,0,1
457,5281,0.432,1,0,1
458,1813,0.5016,1,0,1
459,7768,0.4195,1,1,1
460,8785,0.4504,1,0,1
461,1663,0.488,1,1,1
462,8521,0.6153,1,1,1
464,985,0.534,1,1,1
465,985,0.415,1,0,1
466,7807,0.3622,1,0,1
467,337788,0.439,1,0,1
468,6253,0.504,1,0,1
469,4264,0.4512,1,0,1
470,1430,0.382,1,0,1
471,3286,0.395,1,1,1
472,8755,0.3694,1,0,1
473,6844,0.424,1,0,1
474,1761,0.4163,1,0,1
475,6055,0.38,1,0,1
476,5731,0.426,1,0,1
477,7624,0.466,1,0,1
478,808,0.4844,1,0,1
479,1601,0.4356,1,0,1
480,161753,0.453,1,0,1
481,7768,0.4674,1,1,1
482,1824,0.4342,1,0,1
483,7756,0.3745,1,0,1
484,1663,0.347,1,0,1
485,4264,0.5004,1,1,1
486,8785,0.4987,1,1,1
487,1583,0.771,1,0,1
488,1638,0.6106,1,0,1
489,3580,0.397,1,0,1
490,6583,0.5407,1,1,1
491,8788,0.3664,1,1,1
492,845,0.399,1,0,1
493,1657,0.4094,1,1,1
494,3487,0.3541,1,0,1
495,8704,0.357,1,1,1
496,1507,0.3922,1,0,1
497,1638,0.4495,1,0,1
498,7939,0.422,1,0,1
499,4222,0.3549,1,0,1
500,8311,0.484,1,1,1
501,8446,0.4535,1,1,1
502,810,0.4366,1,0,1
503,3625,0.4134,1,0,1
504,275,0.537,1,1,1
505,1824,0.5718,1,1,1
506,8785,0.4033,1,0,1
507,4264,0.3534,1,0,1
508,5815,0.486,0,0,1
509,8446,0.3701,1,0,1
510,4264,0.4956,1,1,1
511,1507,0.6575,1,0,1
512,5761,0.5053,1,0,1
513,5281,0.389,1,1,1
514,1638,0.3788,0,0,1
515,8788,0.5123,1,1,1
516,6634,0.4767,1,1,1
517,6055,0.565,1,1,1
518,6844,0.444,1,1,1
519,3910,0.4415,1,1,1
521,1538,0.3723,1,1,1
522,6109,0.4055,1,0,1
523,3286,0.423,1,0,1
524,8026,0.369,1,1,1
525,1583,0.4083,1,0,1
526,3625,0.4759,1,0,1
527,845,0.355,0,1,1
528,845,0.349,1,1,1
529,3487,0.4461,1,0,1
530,5803,0.448,1,1,1
532,7939,0.662,1,1,1
533,1507,0.4247,1,0,1
534,6214,0.3573,1,0,1
535,5761,0.4876,1,1,1
536,7939,0.444,1,0,1
537,916,0.5205,1,1,1
539,1614,0.417,1,1,1
540,8785,0.4714,1,1,1
541,7807,0.3952,1,1,1
542,7924,0.526,1,0,1
543,6634,0.7672,1,1,1
544,833,0.4608,1,0,1
545,7807,0.4387,0,1,1
546,6262,0.6169,1,0,1
547,1430,0.385,1,0,1
548,1821,0.315799999,1,0,1
549,1638,0.5347,1,0,1
550,6361,0.49,1,1,1
551,6253,0.464,1,0,1
552,6583,0.4684,1,0,1
553,985,0.48,1,0,1
554,1507,0.5179,0,1,1
556,3988,0.4111,0,0,1
557,3625,0.5203,1,1,1
558,1663,0.75,1,0,1
559,8785,0.4221,0,1,1
560,6634,0.445,1,1,1
561,8755,0.4395,1,0,1
562,8755,0.4412,1,1,1
563,6262,0.6446,1,1,1
564,8446,0.4029,1,0,1
565,1538,0.4695,0,0,1
566,6583,0.5142,1,0,1
567,7756,0.531,1,1,1
568,6109,0.3849,1,1,1
569,6427,0.493,1,0,1
570,1583,0.6679999999999999,1,1,1
571,8704,0.633,1,1,1
572,7807,0.4024,1,1,1
573,6055,0.48,1,1,1
574,3754,0.5914,1,1,1
575,8755,0.6736,1,1,1
576,5815,0.4537,0,1,1
577,1601,0.5352,1,0,1
578,8521,0.4198,1,0,1
579,6634,0.4686,1,0,1
580,3292,0.4248,1,0,1
581,1597,0.369,1,1,1
582,7813,0.392,0,0,1
583,8704,0.703,1,0,1
584,1430,0.418,1,0,1
585,337788,0.536,1,1,1
586,8755,0.3735,1,0,1
587,1813,0.6201,1,1,1
588,8308,0.488,1,1,1
589,8026,0.449,1,0,1
590,6055,0.401,1,0,1
591,1824,0.3865,1,1,1
592,8788,0.4347,1,1,1
593,1614,0.437,0,1,1
594,4264,0.3169,0,1,1
595,6361,0.445,0,1,1
596,8755,0.3953,1,0,1
597,1582,0.53,1,1,1
598,8311,0.443,1,1,1
600,6055,0.363,1,0,1
601,7807,0.5474,1,1,1
602,7756,0.409,1,0,1
603,6427,0.398,1,0,1
604,3988,0.3275,1,0,1
605,337788,0.388,1,1,1
606,5281,0.373,1,0,1
607,7924,0.5415,1,1,1
608,5332,0.48,1,1,1
609,808,0.4308,1,0,1
610,5281,0.55,1,1,1
611,3292,0.5043,1,0,1
612,8446,0.4545,1,0,1
613,1430,0.466,1,1,1
614,5281,0.465,1,1,1
615,161753,0.491,1,0,1
616,1638,0.4515,1,0,1
617,7756,0.4951,1,0,1
618,1768,0.352,0,1,1
619,1761,0.6385,1,0,1
